vectorizer_type,stopwords_option,stopwords_count,n_estimators,max_depth,ccp_alpha,accuracy,mcc,train_time,config_str
tfidf,custom,50,200,,0.0,0.7935779816513762,0.5879826649323169,3169.0603108406067,tfidf_custom_50_trees200_depthNone_ccp0.0
bow,custom,30,300,,0.0,0.7924311926605505,0.585250623561033,3808.5157980918884,bow_custom_30_trees300_depthNone_ccp0.0
tfidf,custom,30,300,,0.0,0.7798165137614679,0.5625914889573777,2944.167598962784,tfidf_custom_30_trees300_depthNone_ccp0.0
bow,,0,100,,0.0,0.768348623853211,0.5376805726451636,2813.2907667160034,bow_None_trees100_depthNone_ccp0.0
tfidf,custom,100,300,,0.0,0.7660550458715596,0.5319525132609245,3783.598272562027,tfidf_custom_100_trees300_depthNone_ccp0.0
bow,custom,50,100,,0.0,0.7649082568807339,0.5316173005971708,3735.5583629608154,bow_custom_50_trees100_depthNone_ccp0.0
tfidf,,0,300,,0.0,0.7557339449541285,0.5116923964233117,2241.5525817871094,tfidf_None_trees300_depthNone_ccp0.0
tfidf,custom,200,200,,0.0,0.7488532110091743,0.49746307018045893,4089.639372110367,tfidf_custom_200_trees200_depthNone_ccp0.0
bow,custom,100,200,,0.0,0.7419724770642202,0.4872626515941037,4698.594834089279,bow_custom_100_trees200_depthNone_ccp0.0
bow,custom,200,200,,0.0,0.7350917431192661,0.4703072726914978,5054.824469804764,bow_custom_200_trees200_depthNone_ccp0.0
